"State","Occupation","Pixels","State.Pixels","PixPercent","Number","CensusPercent"
"New York","Manufacturing",91,610.039911308204,14.9170567881132,476775,13.9839092919088
"New York","Trade",45,610.039911308204,7.37656654357245,234581,6.88030921421058
"New York","Service",79,610.039911308204,12.9499723764939,405339,11.8886766472089
"New York","School",159,610.039911308204,26.063868453956,846745,24.8352058589005
"New York","Unaccounted",162.039911308204,610.039911308204,26.5621819662121,1071691.32387685,31.4329280310828
"North Carolina","Agriculture",255,635.290465631929,40.1391196303173,269238,35.2657649302545
"North Carolina","Manufacturing",22,635.290465631929,3.46298287006659,20592,2.69721447731672
"North Carolina","Trade",10,635.290465631929,1.57408312275754,10179,1.33328215640088
"North Carolina","Service",50,635.290465631929,7.87041561378771,51290,6.71814930757453
"North Carolina","School",59,635.290465631929,9.2870904242695,65287,8.55152688328365
"North Carolina","Unaccounted",239.290465631929,635.290465631929,37.6663083388013,346868.303436989,45.4340622451698
"North West Territory","Agriculture",88,626.509977827051,14.0460652047736,NA,NA
"North West Territory","Manufacturing",181,626.509977827051,28.890202296182,NA,NA
"North West Territory","Trade",48,626.509977827051,7.66149011169467,NA,NA
"North West Territory","Service",110,626.509977827051,17.557581505967,NA,NA
"North West Territory","School",57,626.509977827051,9.09801950763742,NA,NA
"North West Territory","Unaccounted",142.509977827051,626.509977827051,22.7466413737454,NA,NA
"Ohio","Agriculture",127,592.341463414634,21.4403359960471,397024,19.1358339776682
"Ohio","Manufacturing",62,592.341463414634,10.4669356831096,197010,9.49552332337694
"Ohio","Trade",27,592.341463414634,4.55818166845096,78547,3.78582239724526
"Ohio","Service",53,592.341463414634,8.94754179362596,168308,8.11213917826977
"Ohio","School",201,592.341463414634,33.9331301984683,645624,31.1179013762343
"Ohio","Unaccounted",122.341463414634,592.341463414634,20.6538746602981,588254.164385588,28.3527797472056
"Oregon","Agriculture",125,600.192904656319,20.8266374077809,13248,20.9908610245174
"Oregon","Manufacturing",85,600.192904656319,14.162113437291,8694,13.7752525473395
"Oregon","Trade",24,600.192904656319,3.99871438229394,2619,4.1496878791675
"Oregon","Service",59,600.192904656319,9.8301728564726,6090,9.64933149451321
"Oregon","School",168,600.192904656319,27.9910006760576,18077,28.6421946512833
"Oregon","Unaccounted",139.192904656319,600.192904656319,23.1913612401039,14385.1804670913,22.792672403179
"Pennsylvania","Agriculture",67,617.827050997783,10.8444587998852,260051,9.98005714859609
"Pennsylvania","Manufacturing",89,617.827050997783,14.4053258685042,356240,13.6715319634067
"Pennsylvania","Trade",33,617.827050997783,5.34130060292851,121253,4.65336364574149
"Pennsylvania","Service",70,617.827050997783,11.3300315819696,283000,10.860777974523
"Pennsylvania","School",181,617.827050997783,29.2962245190927,724999,27.8235094372835
"Pennsylvania","Unaccounted",177.827050997783,617.827050997783,28.7826586276199,860163.52179664,33.0107598304492
"Rhode Island","Agriculture",46,608.354767184035,7.5613774201073,11780,6.64168605598588
"Rhode Island","Manufacturing",176,608.354767184035,28.9304875204105,47007,26.5030336531178
"Rhode Island","Trade",33,608.354767184035,5.42446641007698,10108,5.69899513191046
"Rhode Island","Service",75,608.354767184035,12.3283327501749,19679,11.0952240998087
"Rhode Island","School",126,608.354767184035,20.7115990202939,34910,19.6826197126033
